Fecha,Ubicacion,Local,Resultado,Visitante,year
"17 de agosto, 21:30 (UTC-3)",São Paulo,Palmeiras,3:0,São Paulo,2021
"11 de agosto, 18:15 (UTC-4)",Asunción,Olimpia,1:4,Flamengo,2021
"18 de agosto, 19:15 (UTC-3)",Brasilia,Flamengo,5:1,Olimpia,2021
"11 de agosto, 21:30 (UTC-3)",Buenos Aires,River Plate,0:1,Atlético Mineiro,2021
"18 de agosto, 21:30 (UTC-3)",Belo Horizonte,Atlético Mineiro,3:0,River Plate,2021
"12 de agosto, 21:30 (UTC-3)",Río de Janeiro,Fluminense,2:2,Barcelona,2021
"19 de agosto, 19:30 (UTC-5)",Guayaquil,Barcelona,1:1,Fluminense,2021
"21 de septiembre, 21:30 (UTC-3)",São Paulo,Palmeiras,0:0,Atlético Mineiro,2021
"28 de septiembre, 21:30 (UTC-3)",Belo Horizonte,Atlético Mineiro,1:1,Palmeiras,2021
"22 de septiembre, 21:30 (UTC-3)",Río de Janeiro,Flamengo,2:0,Barcelona,2021
"29 de septiembre, 19:30 (UTC-5)",Guayaquil,Barcelona,0:2,Flamengo,2021
"27 de noviembre, 17:00 (UTC-3)",Montevideo,Palmeiras,2:1,Flamengo,2021
6 de abril,San Cristóbal,Deportivo Táchira,0:4,Palmeiras,2022
6 de abril,Sucre,Independiente Petrolero,1:1,Emelec,2022
12 de abril,São Paulo,Palmeiras,8:1,Independiente Petrolero,2022
14 de abril,Guayaquil,Emelec,1:1,Deportivo Táchira,2022
26 de abril,Sucre,Independiente Petrolero,1:2,Deportivo Táchira,2022
27 de abril,Guayaquil,Emelec,1:3,Palmeiras,2022
3 de mayo,San Cristóbal,Deportivo Táchira,1:4,Emelec,2022
3 de mayo,Sucre,Independiente Petrolero,0:5,Palmeiras,2022
18 de mayo,São Paulo,Palmeiras,1:0,Emelec,2022
18 de mayo,San Cristóbal,Deportivo Táchira,3:0,Independiente Petrolero,2022
24 de mayo,São Paulo,Palmeiras,4:1,Deportivo Táchira,2022
24 de mayo,Guayaquil,Emelec,7:0,Independiente Petrolero,2022
5 de abril,Caracas,Caracas,0:0,Athletico Paranaense,2022
7 de abril,La Paz,The Strongest,1:1,Libertad,2022
13 de abril,Asunción,Libertad,2:1,Caracas,2022
14 de abril,Curitiba,Athletico Paranaense,1:0,The Strongest,2022
26 de abril,Asunción,Libertad,1:0,Athletico Paranaense,2022
27 de abril,La Paz,The Strongest,1:1,Caracas,2022
3 de mayo,Caracas,Caracas,1:0,Libertad,2022
3 de mayo,La Paz,The Strongest,5:0,Athletico Paranaense,2022
17 de mayo,Caracas,Caracas,0:0,The Strongest,2022
18 de mayo,Curitiba,Athletico Paranaense,2:0,Libertad,2022
26 de mayo,Curitiba,Athletico Paranaense,5:1,Caracas,2022
26 de mayo,Asunción,Libertad,4:1,The Strongest,2022
6 de abril,Bragança Paulista,Bragantino,2:0,Nacional,2022
7 de abril,La Plata,Estudiantes (LP),4:1,Vélez Sarsfield,2022
13 de abril,Montevideo,Nacional,0:0,Estudiantes (LP),2022
14 de abril,Buenos Aires,Vélez Sarsfield,2:2,Bragantino,2022
26 de abril,Buenos Aires,Vélez Sarsfield,1:2,Nacional,2022
26 de abril,La Plata,Estudiantes (LP),2:0,Bragantino,2022
3 de mayo,La Plata,Estudiantes (LP),1:0,Nacional,2022
5 de mayo,Bragança Paulista,Bragantino,1:1,Vélez Sarsfield,2022
17 de mayo,Bragança Paulista,Bragantino,0:1,Estudiantes (LP),2022
18 de mayo,Montevideo,Nacional,2:3,Vélez Sarsfield,2022
24 de mayo,Montevideo,Nacional,3:0,Bragantino,2022
24 de mayo,Buenos Aires,Vélez Sarsfield,4:0,Estudiantes (LP),2022
6 de abril,Belo Horizonte,América Mineiro,0:2,Independiente del Valle,2022
6 de abril,Ibagué,Deportes Tolima,0:2,Atlético Mineiro,2022
13 de abril,Belo Horizonte,Atlético Mineiro,1:1,América Mineiro,2022
13 de abril,Quito,Independiente del Valle,2:2,Deportes Tolima,2022
26 de abril,Quito,Independiente del Valle,1:1,Atlético Mineiro,2022
27 de abril,Belo Horizonte,América Mineiro,2:3,Deportes Tolima,2022
3 de mayo,Belo Horizonte,América Mineiro,1:2,Atlético Mineiro,2022
4 de mayo,Ibagué,Deportes Tolima,1:0,Independiente del Valle,2022
18 de mayo,Ibagué,Deportes Tolima,2:2,América Mineiro,2022
19 de mayo,Belo Horizonte,Atlético Mineiro,3:1,Independiente del Valle,2022
25 de mayo,Belo Horizonte,Atlético Mineiro,1:2,Deportes Tolima,2022
25 de mayo,Quito,Independiente del Valle,3:0,América Mineiro,2022
5 de abril,La Paz,Always Ready,2:0,Corinthians,2022
5 de abril,Palmira,Deportivo Cali,2:0,Boca Juniors,2022
12 de abril,Buenos Aires,Boca Juniors,2:0,Always Ready,2022
13 de abril,São Paulo,Corinthians,1:0,Deportivo Cali,2022
26 de abril,São Paulo,Corinthians,2:0,Boca Juniors,2022
